Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2018 Mazda CX-9 Touring,Mazda,2018,"$19,799","52,194",Silver,Black,Automatic,AWD
2018 Chevrolet Malibu LT,Chevrolet,2018,"$12,495","60,040",Gray,Brown,Automatic,FWD
2016 Nissan Rogue SL,Nissan,2016,"$12,489","34,301",White,Gray,CVT,AWD
2013 INFINITI JX35 Base,INFINITI,2013,"$12,495","102,359",Gray,Gray,CVT,AWD
2018 Lexus LS 500 W/PANORAMIC ROOF BACKUP CAMERA 360 NAVIGATION,Lexus,2018,"$58,900","8,310",Silver,Other,Automatic,AWD
2017 Lexus GX 460 Base,Lexus,2017,"$29,900","28,050",Black,Black,Automatic,4x4/4-wheel drive
2016 Nissan Altima 2.5 SR,Nissan,2016,"$11,995","54,743",Silver,Gray,CVT,FWD
2018 Maserati Ghibli S Q4,Maserati,2018,"$36,995","23,006",Gray,Other,Automatic,AWD
2018 Jeep Renegade Altitude,Jeep,2018,"$12,800","32,073",White,Black,Automatic,4x4/4-wheel drive
2013 Volkswagen CC 3.6L VR6 Lux,Volkswagen,2013,"$9,995","76,650",Black,Black,Automatic,FWD
2010 Honda Civic LX,Honda,2010,"$4,850","104,334",Blue,Gray,Automatic,FWD
2012 Hyundai Veloster Base,Hyundai,2012,"$6,300","66,250",Green,Black,Manual,FWD
2013 Cadillac XTS Platinum,Cadillac,2013,"$14,995","83,952",Gray,Black,Automatic,AWD
2010 Chevrolet Equinox LTZ,Chevrolet,2010,"$7,495","157,615",White,Black,Automatic,AWD
2016 Chevrolet Malibu 2LT,Chevrolet,2016,"$13,900","37,738",White,Black,Automatic,FWD
2015 Dodge Durango Limited,Dodge,2015,"$16,997","65,575",Black,Black,Automatic,AWD
2011 Nissan Murano S,Nissan,2011,"$4,899","134,524",Black,Other,CVT,AWD
2020 Subaru Ascent Limited,Subaru,2020,"$39,944","2,298",Gray,Black,CVT,AWD
2018 Chevrolet Malibu LT,Chevrolet,2018,"$14,999","20,724",Gray,Black,Automatic,FWD
2014 Porsche Cayenne GTS,Porsche,2014,"$28,988","78,033",Black,Gray,Automatic,AWD
2016 Dodge Durango R/T,Dodge,2016,"$24,895","70,813",White,Black,Automatic,AWD
2014 Audi A7 3.0T Prestige quattro,Audi,2014,"$21,895","63,928",Silver,Black,Automatic,AWD
2013 Nissan Rogue SV,Nissan,2013,"$9,988","48,636",White,Other,CVT,AWD
2016 Audi S6 4.0T quattro Premium Plus,Audi,2016,"$31,995","46,818",White,Other,Automatic,AWD
2017 Hyundai Sonata Limited,Hyundai,2017,"$17,488","13,398",Brown,Beige,Automatic,FWD
2017 Jaguar XE 35t R-Sport,Jaguar,2017,"$21,990","62,556",Blue,Other,Automatic,RWD
2018 BMW M3 Base,BMW,2018,"$46,977","15,832",Black,Black,Automatic,RWD
2019 INFINITI Q60 3.0T Pure,INFINITI,2019,"$28,490","33,779",Black,Gray,Automatic,AWD
2017 Nissan Altima 2.5 SV,Nissan,2017,"$12,499","29,171",Gray,Gray,CVT,FWD
2015 Nissan Altima 2.5 S,Nissan,2015,"$4,999","144,457",White,Black,CVT,FWD
2019 Ford Fusion SEL,Ford,2019,"$14,495","39,491",Black,Gray,Automatic,FWD
2017 Mercedes-Benz GLA 250 Base 4MATIC,Mercedes-Benz,2017,"$19,995","31,599",Black,Black,Automatic,AWD
2015 Mercedes-Benz C 250,Mercedes-Benz,2015,"$11,999","58,589",Black,Other,Automatic,RWD
2017 Maserati Quattroporte S Q4 GranLusso,Maserati,2017,"$46,505","19,263",White,Brown,Automatic,AWD
2018 Alfa Romeo Giulia Base,Alfa,2018,"$22,477","17,536",Gray,Other,Automatic,AWD
2016 Ford Explorer Sport,Ford,2016,"$21,888","41,392",Black,Black,Automatic,4x4/4-wheel drive
2016 BMW 328 i xDrive SULEV,BMW,2016,"$13,400","37,769",White,Black,Automatic,AWD
2016 Cadillac CTS 2.0L Turbo Standard,Cadillac,2016,"$15,766","48,066",Black,Black,Automatic,RWD
2018 Jaguar XJ XJ R-Sport,Jaguar,2018,"$37,777","13,116",Green,Other,Automatic,AWD
2018 INFINITI Q50 3.0t LUXE,INFINITI,2018,"$19,495","37,510",White,Black,Automatic,RWD
2017 Ford Fusion SE,Ford,2017,"$9,495","40,745",Black,Black,Automatic,FWD
2018 BMW X2 xDrive28i,BMW,2018,"$23,995","60,009",Yellow,Red,Automatic,AWD
2019 Dodge Journey SE,Dodge,2019,"$16,500",72,Other,Other,Automatic,FWD
2017 BMW 530 i xDrive,BMW,2017,"$29,995","33,400",Black,Black,Automatic,AWD
2017 Lexus IS 350,Lexus,2017,"$28,989","33,871",White,Black,Automatic,AWD
2016 Audi A6 2.0T Premium Plus,Audi,2016,"$19,495","39,999",Brown,Brown,Automatic,AWD
2016 Nissan Rogue SV,Nissan,2016,"$11,985","35,276",White,Gray,CVT,AWD
2018 Kia Optima LX,Kia,2018,"$11,500",22,Red,Black,Automatic,FWD
2016 Ford Fusion SE,Ford,2016,"$9,844","43,988",Brown,Black,Automatic,FWD
2017 Nissan Maxima 3.5 SV,Nissan,2017,"$14,999","47,402",Silver,Gray,CVT,FWD
2015 BMW X5 xDrive35i,BMW,2015,"$19,295","92,696",White,Black,Automatic,AWD
2017 Audi A7 3.0T Prestige,Audi,2017,"$29,800","60,887",Black,Black,Automatic,AWD
2017 Toyota Sienna XLE,Toyota,2017,"$24,485","18,304",Gray,Gray,Automatic,FWD
2020 Kia Optima LX,Kia,2020,"$16,995","8,916",White,Black,Automatic,FWD
2018 Mercedes-Benz CLA 250 Base 4MATIC,Mercedes-Benz,2018,"$21,999","21,692",Black,Black,Automatic,AWD
2019 Kia Forte FE,Kia,2019,"$12,998","19,188",Red,Black,Manual,FWD
2017 Maserati Levante Base,Maserati,2017,"$44,998","27,639",Blue,Beige,Automatic,AWD
2019 Ford Transit-250 148 WB Medium Roof Cargo,Ford,2019,"$21,877","19,673",Other,Other,Automatic,RWD
2016 Dodge Grand Caravan AVP/SE,Dodge,2016,"$10,794","29,922",White,Black,Automatic,FWD
2014 Nissan Rogue Select S,Nissan,2014,"$7,849","74,405",Blue,Black,CVT,AWD
2015 BMW 435 i xDrive,BMW,2015,"$20,410","75,882",Gray,Black,Manual,AWD
2016 Honda Odyssey LX,Honda,2016,"$15,570","32,924",Gray,Gray,Automatic,FWD
2019 Chevrolet Silverado 1500 Custom,Chevrolet,2019,"$31,465","9,463",Black,Black,Automatic,4x4/4-wheel drive
2016 BMW 535 i xDrive,BMW,2016,"$25,995","46,117",White,Black,Automatic,AWD
2016 Volvo XC90 Hybrid T8 Inscription,Volvo,2016,"$38,998","30,952",Beige,Beige,Automatic,AWD
2017 BMW 640 i xDrive,BMW,2017,"$35,995","36,714",Black,White,Automatic,AWD
2013 Ford Transit Connect XL,Ford,2013,"$7,900","91,195",Black,Gray,Automatic,FWD
2014 RAM ProMaster 2500 Tradesman,RAM,2014,"$18,900","76,015",White,Black,Automatic,FWD
2018 Acura ILX Base,Acura,2018,"$15,936","12,054",Gray,Black,Automatic,FWD
2018 Nissan Titan S,Nissan,2018,"$23,797","39,049",Gray,Black,Automatic,4x4/4-wheel drive
2019 Dodge Grand Caravan SE,Dodge,2019,"$18,980","10,891",Black,Black,Automatic,FWD
2016 Mazda CX-9 Signature,Mazda,2016,"$27,752","16,439",Black,Other,Automatic,AWD
2017 Mercedes-Benz GLC 300 4MATIC Coupe,Mercedes-Benz,2017,"$37,954","31,584",Gray,Beige,Automatic,AWD
2014 Cadillac ATS 2.0L Turbo,Cadillac,2014,"$13,794","42,753",Purple,Black,Automatic,AWD
2018 Dodge Durango GT,Dodge,2018,"$26,995","40,359",Red,Black,Automatic,AWD
2002 Saturn SC 2,Saturn,2002,"$3,295","82,061",Black,Beige,Automatic,FWD
2013 Ford Transit Connect XLT,Ford,2013,"$6,995","101,907",White,Gray,Automatic,FWD
2017 Cadillac ATS 2.0L Turbo Luxury,Cadillac,2017,"$22,795","17,137",Blue,Black,Automatic,AWD
2014 Ford Flex SEL,Ford,2014,"$10,995","114,687",Brown,Black,Automatic,AWD
2013 Volvo S60 T5,Volvo,2013,"$8,990","57,000",Gray,Black,Automatic,FWD
2008 Lexus IS 250,Lexus,2008,"$5,995","176,675",White,Beige,Automatic,AWD
2012 Toyota Sienna Base,Toyota,2012,"$9,990","88,770",Silver,Black,Automatic,FWD
