Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2019 Nissan Pathfinder Platinum,Nissan,2019,"$37,999","6,253",White,Black,CVT,4x4/4-wheel drive
2020 Audi Q3 2.0T Prestige,Audi,2020,"$38,999","2,254",Red,Black,Automatic,AWD
2017 Audi Q3 2.0T Prestige,Audi,2017,"$25,899","35,464",Black,Black,Automatic,AWD
2008 Dodge Ram 2500 Laramie Quad Cab,Dodge,2008,"$13,298","173,718",Blue,Gray,Automatic,4x4/4-wheel drive
2013 Mazda Mazda3 i Touring,Mazda,2013,"$10,490","75,903",Silver,Black,Automatic,FWD
2019 GMC Sierra 1500 AT4,GMC,2019,"$49,695","12,971",Blue,Black,Automatic,4x4/4-wheel drive
2019 Mercedes-Benz Metris Base,Mercedes-Benz,2019,"$27,995","9,162",Black,Black,Automatic,RWD
2015 Nissan Altima 2.5 S,Nissan,2015,"$11,995","30,357",Gray,Gray,CVT,FWD
2019 Chevrolet Suburban Premier,Chevrolet,2019,"$54,995","20,166",Black,Black,Automatic,4x4/4-wheel drive
2019 Buick Encore Preferred,Buick,2019,"$16,895","18,206",Silver,Black,Automatic,FWD
2019 Ford Taurus Limited,Ford,2019,"$24,800","10,823",White,Other,Automatic,AWD
2014 Chevrolet Equinox 1LT,Chevrolet,2014,"$14,999","84,360",Gray,Black,Automatic,FWD
2017 BMW 330e iPerformance,BMW,2017,"$24,388","25,387",Black,Black,Automatic,RWD
2010 Dodge Ram 1500 Laramie,Dodge,2010,"$23,999","46,726",Gray,Gray,Automatic,RWD
2012 Kia Optima EX,Kia,2012,"$10,995","87,001",White,Gray,Automatic,FWD
2005 Chevrolet Tahoe,Chevrolet,2005,"$7,999","142,440",Gray,Gray,Automatic,4x4/4-wheel drive
2014 Dodge Grand Caravan SE,Dodge,2014,"$9,995","99,169",Red,Black,Automatic,FWD
2013 BMW 650 Gran Coupe i xDrive,BMW,2013,"$26,389","83,726",Other,Other,Automatic,AWD
2019 Dodge Grand Caravan SXT,Dodge,2019,"$17,495","32,805",Silver,Black,Automatic,FWD
2015 GMC Terrain Denali,GMC,2015,"$19,500","46,962",Gray,Black,Automatic,AWD
2013 Ford Expedition Limited,Ford,2013,"$24,967","24,945",Silver,Black,Automatic,4x4/4-wheel drive
2018 Chevrolet Equinox Premier w/3LZ,Chevrolet,2018,"$26,100","30,621",Gray,Black,Automatic,AWD
2017 GMC Sierra 1500 Denali,GMC,2017,"$38,998","19,748",Red,Brown,Automatic,4x4/4-wheel drive
2019 Jeep Compass Trailhawk,Jeep,2019,"$21,877","12,530",Silver,Black,Automatic,4x4/4-wheel drive
