City,Age_coef,Milage_coef,Intercept
New York City,-777.7121293447228,-0.11580505124445949,29201.07774866803
San Francisco,-159.3450197190439,-0.16663606658910377,30762.204573358627
Chicago,-667.349395541176,-0.12851029094720537,29698.5952027526
Houston,-701.3048116474209,-0.11001242545909096,28847.600372602494
Los Angeles,-460.64958137312084,-0.1317095869163855,27396.547444723048
Seattle,-647.0004609969542,-0.12870460094142025,31665.397448438765
Boston,-938.69809434291,-0.1202708599721056,31164.947381727365
Miami,-318.35333010879435,-0.1500637341716153,26594.513730006423
