Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2009 Honda Accord LX,Honda,2009,"$6,999","103,323",Silver,Gray,Automatic,FWD
2017 Hyundai Santa Fe Limited,Hyundai,2017,"$18,288","52,945",Gray,Gray,Automatic,FWD
2017 Toyota Corolla SE,Toyota,2017,"$13,731","30,870",Silver,Gray,CVT,FWD
2015 Mercedes-Benz GL450 4MATIC,Mercedes-Benz,2015,"$29,991","65,927",Black,Black,Automatic,AWD
2018 Honda Accord EX-L 2.0T,Honda,2018,"$21,333","44,232",Blue,Gray,Automatic,FWD
2019 BMW 530 i,BMW,2019,"$34,999","13,499",Black,Black,Automatic,RWD
2018 Land Rover Discovery HSE LUXURY,Land,2018,"$54,300","6,772",Black,Black,Automatic,4x4/4-wheel drive
2017 Honda CR-V EX,Honda,2017,"$20,980","28,136",White,Other,CVT,FWD
2003 Hummer H2,Hummer,2003,"$14,888","142,597",Green,Other,Automatic,4x4/4-wheel drive
2006 INFINITI G35 Base,INFINITI,2006,"$7,999","127,560",White,Beige,Automatic,RWD
2019 Mercedes-Benz GLC 300 Base,Mercedes-Benz,2019,"$32,959","12,384",Black,Black,Automatic,RWD
2007 Hyundai Santa Fe Limited,Hyundai,2007,"$5,500","113,021",Gray,Gray,Automatic,FWD
2016 Nissan Sentra S,Nissan,2016,"$10,995","17,932",Gray,Gray,CVT,FWD
2017 Chevrolet Cruze LS,Chevrolet,2017,"$10,399","35,398",Black,Black,Automatic,FWD
2017 Nissan Sentra SV,Nissan,2017,"$10,499","36,519",Gray,Gray,CVT,FWD
2018 RAM ProMaster 2500 High Roof,RAM,2018,"$28,995","16,247",White,Black,Automatic,FWD
2019 Toyota RAV4 XLE,Toyota,2019,"$24,399","22,219",White,Black,Automatic,AWD
2012 Mercedes-Benz E 350,Mercedes-Benz,2012,"$13,750","74,114",White,Red,Automatic,RWD
2012 Honda Crosstour EX-L,Honda,2012,"$10,988","119,346",Green,Black,Automatic,4x4/4-wheel drive
2014 Chevrolet Cruze 1LT,Chevrolet,2014,"$6,988","87,244",Silver,Black,Automatic,FWD
2017 Maserati Ghibli Base,Maserati,2017,"$29,795","48,431",White,Black,Automatic,RWD
2014 Toyota Prius Plug-in PLUG-IN,Toyota,2014,"$9,995","155,029",Green,Gray,CVT,FWD
2017 Hyundai Tucson Limited,Hyundai,2017,"$19,997","18,583",Silver,Black,Automatic,FWD
2015 Lexus CT 200h Base,Lexus,2015,"$15,995","69,509",Silver,Black,CVT,FWD
2019 RAM 1500 Rebel,RAM,2019,"$30,900","21,915",Gray,Black,Automatic,4x4/4-wheel drive
2016 Nissan Frontier SV,Nissan,2016,"$14,488","63,648",Red,Gray,Automatic,4x4/4-wheel drive
2017 Toyota Sienna LE,Toyota,2017,"$14,990","105,106",White,Gray,Automatic,FWD
2014 Nissan Armada SV,Nissan,2014,"$11,990","111,838",Blue,Gray,Automatic,RWD
2014 Nissan Sentra S,Nissan,2014,"$6,795","90,909",Gray,Other,CVT,FWD
2019 Mazda CX-9 Touring,Mazda,2019,"$23,297","30,945",Silver,Black,Automatic,AWD
2018 Toyota Camry SE,Toyota,2018,"$18,485","42,177",Other,Other,Automatic,FWD
2015 Nissan Versa 1.6 S,Nissan,2015,"$9,990","45,075",Black,Gray,Manual,FWD
2017 Lincoln MKC Select,Lincoln,2017,"$20,590","30,877",Silver,Black,Automatic,AWD
2016 BMW 320 i,BMW,2016,"$18,995","27,975",Gray,Black,Automatic,RWD
2017 Lexus RX 350 350,Lexus,2017,"$30,988","28,198",White,Brown,Automatic,FWD
2017 Lexus RX 350 350,Lexus,2017,"$28,988","31,013",White,Gray,Automatic,FWD
2016 smart ForTwo Passion,smart,2016,"$9,650","19,335",Orange,Black,Automatic,RWD
