Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2013 Nissan Altima 2.5 SV,Nissan,2013,"$6,499","91,310",Beige,Gray,CVT,FWD
2017 Volkswagen Passat 1.8T SE,Volkswagen,2017,"$14,109","32,204",Gray,Black,Automatic,FWD
2019 Nissan Sentra S,Nissan,2019,"$10,994","39,224",Silver,Gray,Automatic,FWD
2019 Chevrolet Equinox LS,Chevrolet,2019,"$18,991","7,206",Black,Gray,Automatic,FWD
2015 Nissan Titan PRO-4X,Nissan,2015,"$23,599","28,448",Blue,Black,Automatic,4x4/4-wheel drive
2018 Cadillac XT5 Premium Luxury,Cadillac,2018,"$26,391","41,064",Black,Black,Automatic,FWD
2012 Chevrolet Impala LS,Chevrolet,2012,"$3,995","167,179",Black,Gray,Automatic,FWD
2015 Lincoln MKC Base,Lincoln,2015,"$15,991","50,496",Gray,White,Automatic,FWD
2019 Ford Fusion Hybrid SE,Ford,2019,"$14,883","33,729",Silver,Black,CVT,FWD
2016 Chevrolet Traverse 1LT,Chevrolet,2016,"$17,691","49,226",Silver,Black,Automatic,FWD
2019 Nissan Rogue SL,Nissan,2019,"$19,691","29,464",Orange,Beige,CVT,FWD
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz,2019,"$54,888","12,920",White,Other,Automatic,AWD
2007 Chevrolet Avalanche 1500 LS,Chevrolet,2007,"$7,995","226,832",Gray,Black,Automatic,RWD
2020 Cadillac XT4 Sport,Cadillac,2020,"$35,986","9,194",Blue,Black,Automatic,FWD
2018 Land Rover Discovery HSE,Land,2018,"$46,495","7,443",White,Other,Automatic,4x4/4-wheel drive
2005 Nissan Sentra 1.8,Nissan,2005,"$4,495","80,733",Blue,Gray,Automatic,FWD
2012 Chevrolet Captiva Sport 2LS,Chevrolet,2012,"$5,995","133,172",Silver,Black,Automatic,FWD
2007 Chrysler 300 Base,Chrysler,2007,"$3,995","198,033",Blue,Black,Automatic,RWD
2019 Ford Edge SEL,Ford,2019,"$25,870",100,White,Black,Automatic,FWD
2017 Dodge Durango R/T,Dodge,2017,"$29,995","38,640",Gray,Other,Automatic,RWD
2017 Kia Forte EX,Kia,2017,"$16,595","31,593",Silver,Other,Automatic,FWD
2016 Nissan Sentra SR,Nissan,2016,"$10,758","63,447",Gray,Gray,CVT,FWD
2012 Chevrolet Avalanche 1500 LT,Chevrolet,2012,"$18,398","83,529",Black,Black,Automatic,RWD
2017 Dodge Charger R/T 392,Dodge,2017,"$33,998","26,254",Gray,Black,Automatic,RWD
2017 Maserati Ghibli Base,Maserati,2017,"$39,995","17,814",White,Black,Automatic,RWD
2009 Pontiac G8 GT,Pontiac,2009,"$23,980","89,972",White,Black,Automatic,RWD
2019 INFINITI QX80 Luxe,INFINITI,2019,"$38,995","30,834",Black,Black,Automatic,AWD
2016 Cadillac ATS 2.0L Turbo Luxury,Cadillac,2016,"$24,788","10,533",Blue,Black,Automatic,RWD
2019 Ford Explorer Platinum,Ford,2019,"$41,179","13,680",White,Black,Automatic,4x4/4-wheel drive
2019 Toyota C-HR XLE,Toyota,2019,"$17,490","28,805",Silver,Black,CVT,FWD
2019 Toyota Avalon Touring,Toyota,2019,"$31,506","15,954",White,Gray,Automatic,FWD
2017 Volvo S90 T6 Inscription,Volvo,2017,"$30,888","12,116",Blue,Beige,Automatic,AWD
2017 Kia Sorento LX,Kia,2017,"$13,985","42,957",Gray,Black,Automatic,AWD
2015 INFINITI QX80 Base,INFINITI,2015,"$24,888","88,291",Blue,Beige,Automatic,RWD
2017 Chevrolet Bolt EV Premier,Chevrolet,2017,"$21,495","10,410",White,Other,Automatic,FWD
2018 Cadillac CT6 3.6L Luxury,Cadillac,2018,"$37,995","15,190",Silver,Black,Automatic,AWD
2017 Nissan Leaf S,Nissan,2017,"$8,495","56,895",White,Other,Automatic,FWD
2014 Audi Q5 2.0T Premium Plus,Audi,2014,"$15,495","50,766",Gray,Other,Automatic,AWD
2010 GMC Acadia SLT-1,GMC,2010,"$4,895","137,210",Silver,Other,Automatic,FWD
2018 Chevrolet Malibu 1LS,Chevrolet,2018,"$11,995","56,445",White,Other,Automatic,FWD
2017 INFINITI Q60 2.0T Premium,INFINITI,2017,"$25,488","28,206",Gray,Other,Automatic,RWD
2016 GMC Yukon SLE,GMC,2016,"$26,888","53,791",Red,Other,Automatic,RWD
2012 Chevrolet Corvette Grand Sport,Chevrolet,2012,"$24,995","108,337",Black,Black,Automatic,RWD
2018 Chevrolet Silverado 2500 LT,Chevrolet,2018,"$30,992","37,877",White,Black,Automatic,4x4/4-wheel drive
2011 Ford Flex Limited,Ford,2011,"$7,999","109,413",Red,Black,Automatic,FWD
2019 Ford Expedition Platinum,Ford,2019,"$52,199","14,727",Black,Black,Automatic,RWD
2019 Volvo XC90 T6 Momentum,Volvo,2019,"$36,910","24,716",Blue,Black,Automatic,AWD
2013 Mercedes-Benz E 350 4MATIC,Mercedes-Benz,2013,"$14,880","69,857",White,Black,Automatic,AWD
2019 Genesis G70 3.3T Design,Genesis,2019,"$36,990","18,687",Gray,White,Automatic,AWD
2019 Nissan Maxima 3.5 SV,Nissan,2019,"$22,287","26,944",Black,Gray,CVT,FWD
2018 Nissan Altima 2.5 S,Nissan,2018,"$13,988","23,979",White,Gray,CVT,FWD
2018 Hyundai Sonata Sport 2.0T,Hyundai,2018,"$20,500","18,521",Black,Gray,Automatic,FWD
2018 Dodge Durango SRT,Dodge,2018,"$48,993","20,806",Black,Black,Automatic,AWD
2017 Dodge Grand Caravan SXT,Dodge,2017,"$14,450","69,610",Gray,Black,Automatic,FWD
2019 Dodge Grand Caravan SXT,Dodge,2019,"$15,391","49,979",Gray,Black,Automatic,FWD
2017 Acura RLX Technology Package,Acura,2017,"$24,329","32,793",Black,Black,Automatic,FWD
2010 BMW 128 i,BMW,2010,"$7,450","95,882",Silver,Gray,Automatic,RWD
2019 Volvo XC90 T6 Momentum,Volvo,2019,"$44,900","13,042",Black,Gray,Automatic,AWD
2015 Chevrolet Express 2500 LT,Chevrolet,2015,"$14,495","53,040",White,Gray,Automatic,RWD
2018 Chevrolet Traverse LT Cloth,Chevrolet,2018,"$24,994","27,323",White,Black,Automatic,FWD
2017 Ford Taurus Limited,Ford,2017,"$17,994","14,581",Black,Other,Automatic,FWD
2017 Nissan NV200 SV,Nissan,2017,"$16,991",266,White,Gray,CVT,FWD
2015 BMW 650 Gran Coupe i,BMW,2015,"$33,109","39,155",Black,Black,Automatic,RWD
2016 Cadillac ATS 3.6L Performance,Cadillac,2016,"$21,908","64,040",Black,Black,Automatic,RWD
2016 Mercedes-Benz S 550,Mercedes-Benz,2016,"$44,995","27,554",Black,Black,Automatic,RWD
2011 smart ForTwo Passion,smart,2011,"$5,900","32,205",Green,Black,Automatic,RWD
2015 Dodge Dart GT,Dodge,2015,"$13,900","53,960",Black,Black,Manual,FWD
2016 Land Rover Range Rover,Land,2016,"$38,699","52,557",Black,Black,Automatic,4x4/4-wheel drive
2017 Genesis G80 3.8,Genesis,2017,"$23,590","30,256",Silver,Black,Automatic,RWD
2017 Cadillac CT6 3.6L Premium Luxury,Cadillac,2017,"$30,900","41,286",Red,Black,Automatic,AWD
2015 Mercedes-Benz ML 350,Mercedes-Benz,2015,"$24,850","40,422",White,Beige,Automatic,RWD
2016 Chevrolet Suburban LTZ,Chevrolet,2016,"$31,399","51,121",Silver,Black,Automatic,RWD
2016 FIAT 500X Pop,FIAT,2016,"$8,650","69,000",Silver,Gray,Automatic,FWD
2012 BMW 750 Li,BMW,2012,"$13,650","89,000",Gray,Beige,Automatic,RWD
2016 Toyota Highlander Limited Platinum,Toyota,2016,"$24,988","29,054",Red,Black,Automatic,FWD
2016 Dodge Journey Crossroad,Dodge,2016,"$10,691","95,946",Gray,Black,Automatic,FWD
2014 Volkswagen CC,Volkswagen,2014,"$9,291","91,336",Black,Black,Automatic,FWD
2018 Ford Transit-250 Base,Ford,2018,"$18,891","48,111",White,Gray,Automatic,RWD
2015 GMC Sierra 3500 Denali,GMC,2015,"$32,991","166,326",White,Black,Automatic,4x4/4-wheel drive
2015 Toyota Camry LE,Toyota,2015,"$9,991","86,711",Other,Other,Automatic,FWD
2014 BMW 435 i,BMW,2014,"$20,991","77,148",White,Black,Automatic,RWD
2019 Chevrolet Impala 1LT,Chevrolet,2019,"$15,197","24,522",Black,Black,Automatic,FWD
2019 Dodge Challenger R/T,Dodge,2019,"$23,697","22,762",Gray,Black,Other / Unknown,RWD
2018 Jaguar F-PACE 25t Premium,Jaguar,2018,"$27,999","49,347",Silver,Black,Automatic,AWD
2017 INFINITI QX80 Base,INFINITI,2017,"$33,999","32,477",Brown,Beige,Automatic,RWD
2012 Ford Fusion SEL,Ford,2012,"$5,981","108,088",Black,Gray,Automatic,FWD
2018 BMW 430 Gran Coupe i,BMW,2018,"$24,981","45,983",Silver,Black,Automatic,RWD
2017 Audi Q7 3.0T Premium Plus,Audi,2017,"$44,000","37,012",White,Orange,Automatic,RWD
2014 Toyota Yaris SE,Toyota,2014,"$6,500","85,414",Gray,Gray,Automatic,FWD
2013 BMW 550 i,BMW,2013,"$13,000","97,363",Black,Black,Automatic,RWD
2015 Toyota Yaris L,Toyota,2015,"$7,900","67,563",Blue,Black,Automatic,FWD
2018 Ford Edge SEL,Ford,2018,"$19,790","25,798",Silver,Black,Automatic,AWD
2019 Dodge Grand Caravan GT,Dodge,2019,"$17,195","37,896",Black,Black,Automatic,FWD
2018 Nissan Rogue SL,Nissan,2018,"$14,990","40,538",Gray,Black,CVT,FWD
2019 Toyota C-HR XLE,Toyota,2019,"$17,595","27,223",Silver,Black,CVT,FWD
2011 Chrysler Town & Country Limited,Chrysler,2011,"$9,999","72,133",Silver,Black,Automatic,FWD
2017 Lexus RX 450h AWD,Lexus,2017,"$34,888","50,595",Silver,Other,CVT,AWD
2019 Ford Escape SE,Ford,2019,"$15,991","27,136",Gray,Gray,Automatic,FWD
2018 INFINITI QX80 Base,INFINITI,2018,"$35,993","37,308",Gray,Gray,Automatic,RWD
2015 Nissan Versa 1.6 SV,Nissan,2015,"$5,495","106,194",Black,Black,Automatic,FWD
2015 Dodge Journey R/T,Dodge,2015,"$13,758","59,328",Gray,Black,Automatic,FWD
2020 Chevrolet Silverado 1500 LT,Chevrolet,2020,"$33,991","5,641",Black,Black,Automatic,4x4/4-wheel drive
2019 Chevrolet Impala Premier 2LZ,Chevrolet,2019,"$20,991","35,689",Other,Other,Automatic,FWD
2018 Chevrolet Malibu Premier,Chevrolet,2018,"$19,496","10,836",Other,Other,Automatic,FWD
2017 Honda Odyssey EX-L,Honda,2017,"$21,992","75,784",Gray,Gray,Automatic,FWD
2018 Hyundai Kona SE,Hyundai,2018,"$14,995","22,260",White,Black,Automatic,FWD
2019 Chevrolet Traverse LS,Chevrolet,2019,"$24,495","17,108",Black,Black,Automatic,FWD
2011 Chrysler 300 Limited,Chrysler,2011,"$8,995","156,698",White,Black,Automatic,RWD
2011 Subaru Impreza WRX STi Base,Subaru,2011,"$18,900","72,100",Red,Black,Manual,AWD
2015 Jeep Grand Cherokee Limited,Jeep,2015,"$18,995","38,620",Gray,Black,Automatic,4x4/4-wheel drive
2012 Buick Enclave Leather,Buick,2012,"$12,483","83,862",Silver,Gray,Automatic,AWD
2013 INFINITI QX56,INFINITI,2013,"$15,983","130,628",White,Gray,Automatic,RWD
2019 Chevrolet Suburban LT,Chevrolet,2019,"$38,995","37,799",Black,Black,Automatic,4x4/4-wheel drive
2014 Nissan Versa 1.6 SV,Nissan,2014,"$7,900","89,758",Silver,Gray,CVT,FWD
2016 Honda Pilot EX-L,Honda,2016,"$21,655","29,477",Other,Other,Automatic,FWD
2019 GMC Acadia SLE-1,GMC,2019,"$23,588","46,658",Black,Black,Automatic,FWD
2018 Volkswagen Tiguan 2.0T SE,Volkswagen,2018,"$20,988","20,627",Black,Gray,Automatic,FWD
2019 Volkswagen Atlas 3.6L SE w/Technology,Volkswagen,2019,"$33,388","9,625",White,Beige,Automatic,AWD
2018 Volkswagen Jetta 1.8T SE Sport,Volkswagen,2018,"$15,219","27,658",Gray,Black,Automatic,FWD
2013 Audi S6 4.0T Prestige quattro,Audi,2013,"$25,000","73,376",Black,Black,Automatic,AWD
2017 Buick Enclave Convenience,Buick,2017,"$21,995","46,856",Red,Gray,Automatic,FWD
2017 Hyundai Accent SE,Hyundai,2017,"$6,488","61,556",Silver,Gray,Automatic,FWD
2017 GMC Yukon XL Denali,GMC,2017,"$44,298","54,219",Gray,Brown,Automatic,4x4/4-wheel drive
2011 Honda Pilot EX-L,Honda,2011,"$9,495","111,359",Blue,Other,Automatic,FWD
2018 Nissan Sentra SR,Nissan,2018,"$9,995","40,316",Gray,Other,CVT,FWD
2016 Dodge Durango Limited,Dodge,2016,"$22,495","15,915",Blue,Other,Automatic,AWD
2016 Cadillac ATS 2.0L Turbo Luxury,Cadillac,2016,"$20,498","52,483",Black,Black,Automatic,RWD
