Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2010 Ford E150 Cargo,Ford,2010,"$6,499","127,533",White,Gray,Automatic,RWD
2019 Hyundai Elantra SEL,Hyundai,2019,"$13,840","16,801",Gray,Black,Automatic,FWD
2019 Hyundai Tucson SE,Hyundai,2019,"$15,988","26,259",White,Gray,Automatic,AWD
2011 Porsche Cayenne Base,Porsche,2011,"$24,987","62,226",Black,Black,Automatic,AWD
2014 Buick Enclave Premium,Buick,2014,"$19,998","58,830",White,Brown,Automatic,AWD
2011 Ford Taurus SEL,Ford,2011,"$4,775","187,046",Black,Black,Automatic,FWD
2018 Nissan NV Cargo NV2500 HD S V6/S V8,Nissan,2018,"$24,981","15,000",White,Gray,Automatic,RWD
2010 Nissan Murano LE,Nissan,2010,"$8,999","112,500",Black,Black,CVT,AWD
2002 Dodge Dakota Sport,Dodge,2002,"$2,299","137,045",Black,Gray,Automatic,RWD
2018 Hyundai Elantra SEL,Hyundai,2018,"$11,996","10,153",Beige,Beige,Automatic,FWD
2018 Hyundai Santa Fe SE Ultimate,Hyundai,2018,"$23,436","45,174",White,Gray,Automatic,AWD
2006 Chevrolet Impala SS,Chevrolet,2006,"$5,999","101,142",Blue,Gray,Automatic,FWD
2017 Hyundai Santa Fe Sport 2.4L,Hyundai,2017,"$16,787","23,692",White,Beige,Automatic,AWD
2017 Honda Pilot EX-L,Honda,2017,"$28,644","21,034",Black,Black,Automatic,AWD
2018 Volkswagen Tiguan 2.0T S,Volkswagen,2018,"$18,900","2,193",White,Black,Automatic,AWD
2002 Lexus SC 430,Lexus,2002,"$10,999","89,907",Black,Black,Automatic,RWD
2016 Mercedes-Benz GL 450 4MATIC,Mercedes-Benz,2016,"$29,900","48,728",White,Black,Automatic,AWD
2017 Chevrolet Cruze LT,Chevrolet,2017,"$11,986","35,748",Red,Black,Automatic,FWD
2018 INFINITI QX60 Base,INFINITI,2018,"$24,495","29,227",Black,Gray,CVT,AWD
2015 Ford Transit-150 Base,Ford,2015,"$16,495","56,798",White,Gray,Automatic,RWD
2017 Volvo XC90 T6 Momentum,Volvo,2017,"$34,140","30,519",Blue,Gray,Automatic,AWD
2017 Ford Fusion SE,Ford,2017,"$13,790","30,152",Gray,Other,Automatic,FWD
2016 Cadillac ATS-V Base,Cadillac,2016,"$53,888",655,White,Black,Manual,RWD
