Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2017 Mercedes-Benz GLA 250 Base 4MATIC,Mercedes-Benz,2017,"$21,299","31,515",Green,Black,Automatic,AWD
2017 BMW 740 i,BMW,2017,"$39,888","31,650",Gray,Black,Automatic,RWD
2018 BMW 430 Gran Coupe i,BMW,2018,"$33,988","15,252",Black,Brown,Automatic,RWD
2015 GMC Yukon Denali,GMC,2015,"$29,988","89,825",White,Brown,Automatic,4x4/4-wheel drive
2018 Nissan Sentra SV,Nissan,2018,"$12,490","44,292",Other,Gray,Automatic,FWD
2012 Lexus IS 350C Base,Lexus,2012,"$19,988","69,183",White,Black,Automatic,RWD
2019 Volkswagen Atlas 3.6L SE,Volkswagen,2019,"$27,594","4,657",Silver,Black,Automatic,FWD
2019 Lexus RX 350L Premium,Lexus,2019,"$39,999","13,688",Gray,Black,Automatic,AWD
2019 Dodge Grand Caravan GT,Dodge,2019,"$16,990","39,333",Gray,Black,Automatic,FWD
2019 Chrysler Pacifica Limited,Chrysler,2019,"$27,995","33,241",Gray,Black,Automatic,FWD
2016 Dodge Grand Caravan SXT,Dodge,2016,"$14,898","48,471",Silver,Black,Automatic,FWD
2019 Land Rover Discovery Sport HSE,Land,2019,"$36,498","9,098",Silver,Black,Automatic,4x4/4-wheel drive
2016 Mazda CX-9 Grand Touring,Mazda,2016,"$24,462","19,009",Gray,Beige,Automatic,FWD
2013 Toyota Prius c Two,Toyota,2013,"$12,999","65,784",White,Gray,CVT,FWD
2013 Toyota Prius c Four,Toyota,2013,"$10,982","60,403",Silver,Black,CVT,FWD
2017 FIAT 500e Battery Electric,FIAT,2017,"$7,995","13,899",Silver,Black,Automatic,FWD
2011 Honda Fit Base,Honda,2011,"$5,955","162,561",Blue,Other,Manual,FWD
2016 Scion tC Base,Scion,2016,"$14,995","23,346",White,Other,Automatic,FWD
2018 Volkswagen Atlas 3.6L S,Volkswagen,2018,"$23,988","15,267",Silver,Black,Automatic,FWD
2014 GMC Sierra 3500 Denali,GMC,2014,"$38,999","80,670",Black,Black,Automatic,4x4/4-wheel drive
2019 Volkswagen Atlas 3.6L SE w/Technology,Volkswagen,2019,"$25,988","26,785",Silver,Black,Automatic,FWD
2018 Nissan Rogue SV,Nissan,2018,"$14,625","39,228",Silver,Other,CVT,FWD
2018 Nissan Versa 1.6 SV,Nissan,2018,"$9,291","42,665",Red,Gray,CVT,FWD
2017 Porsche Cayenne E-Hybrid S,Porsche,2017,"$49,780","22,302",Silver,Gray,Automatic,AWD
2012 Mercedes-Benz GLK 350 4MATIC,Mercedes-Benz,2012,"$11,995","134,280",White,Beige,Automatic,AWD
2018 Ford Taurus Limited,Ford,2018,"$14,300","42,340",Gold,Black,Automatic,FWD
2010 Porsche Boxster S,Porsche,2010,"$33,000","29,800",White,Brown,Manual,RWD
2020 Ford Explorer Platinum,Ford,2020,"$53,800","1,600",White,Other,Automatic,4x4/4-wheel drive
2016 Audi S8 4.0T Plus,Audi,2016,"$58,000","28,417",White,Brown,Automatic,AWD
2017 Toyota Sienna LE,Toyota,2017,"$21,000","34,639",White,Gray,Automatic,FWD
2016 Maserati Quattroporte S,Maserati,2016,"$34,000","37,470",Beige,Other,Automatic,RWD
2008 Mercedes-Benz SLK280 Roadster,Mercedes-Benz,2008,"$9,599","56,658",Black,Black,Automatic,RWD
2016 Subaru Forester 2.0XT Premium,Subaru,2016,"$20,000","44,518",Red,Black,CVT,AWD
2016 BMW X6 M Base,BMW,2016,"$57,995","19,751",Gray,Red,Automatic,AWD
2012 Honda Odyssey EX,Honda,2012,"$10,700","114,702",White,Beige,Automatic,FWD
2019 INFINITI QX80 Luxe,INFINITI,2019,"$39,888","38,701",Brown,Black,Automatic,AWD
2018 Hyundai Tucson SEL,Hyundai,2018,"$15,571","40,365",Silver,Gray,Automatic,AWD
2014 Dodge Grand Caravan AVP/SE,Dodge,2014,"$11,998","54,830",White,Other,Automatic,FWD
2017 Dodge Grand Caravan GT,Dodge,2017,"$14,998","41,644",White,Black,Automatic,FWD
2019 MINI Countryman Cooper S,MINI,2019,"$31,095","4,698",Red,Black,Automatic,FWD
2017 Toyota Sienna LE,Toyota,2017,"$19,999","29,214",White,Black,Automatic,FWD
2015 Kia K900 Luxury,Kia,2015,"$19,990","59,703",Black,White,Automatic,RWD
2017 Maserati Levante S,Maserati,2017,"$51,990","30,927",Gray,Black,Automatic,AWD
2019 Nissan Kicks SV,Nissan,2019,"$17,651","3,568",White,Gray,CVT,FWD
2018 Ford Expedition Limited,Ford,2018,"$40,990","45,758",Silver,Beige,Automatic,4x4/4-wheel drive
2017 BMW M2 Base,BMW,2017,"$39,998","23,167",Blue,Black,Automatic,RWD
2017 Lexus GS 200t,Lexus,2017,"$31,590","15,617",Silver,Black,Automatic,RWD
2017 Cadillac XT5 Luxury,Cadillac,2017,"$23,847","27,307",Black,Black,Automatic,FWD
2017 Dodge Charger SRT Hellcat,Dodge,2017,"$47,996","35,853",Gray,Black,Automatic,RWD
2018 Dodge Grand Caravan GT,Dodge,2018,"$17,981","45,944",White,Black,Automatic,FWD
2019 Lexus NX 300 F Sport,Lexus,2019,"$37,981","18,869",White,Red,Automatic,FWD
2019 GMC Yukon SLT,GMC,2019,"$37,464","41,744",White,Black,Automatic,4x4/4-wheel drive
2016 Lexus RX 450h 450H,Lexus,2016,"$32,988","38,787",White,Black,CVT,AWD
2017 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz,2017,"$42,722","27,505",Gray,Other,Automatic,AWD
2016 Acura RLX Advance Package,Acura,2016,"$20,000","74,209",Gray,Other,Automatic,FWD
2012 Volkswagen Touareg,Volkswagen,2012,"$12,735","104,753",Silver,Black,Automatic,4x4/4-wheel drive
2018 Toyota Camry Hybrid SE,Toyota,2018,"$22,500","45,628",Blue,Gray,CVT,FWD
2015 Toyota RAV4 Limited,Toyota,2015,"$17,305","27,875",Beige,Other,Automatic,FWD
2017 GMC Terrain Denali,GMC,2017,"$20,390","44,888",Silver,Black,Automatic,AWD
2018 Chevrolet Suburban LT,Chevrolet,2018,"$35,414","29,308",Black,Black,Automatic,RWD
2017 Dodge Grand Caravan SXT,Dodge,2017,"$13,673","75,856",White,Black,Automatic,FWD
2019 GMC Sierra 1500 SLE,GMC,2019,"$33,737","12,809",White,Black,Automatic,RWD
2016 Cadillac CT6 3.6L Premium Luxury,Cadillac,2016,"$24,200","78,583",Black,Black,Automatic,AWD
2017 Ford Fusion Sport,Ford,2017,"$20,793","21,444",Black,Gray,Automatic,AWD
2013 Kia Forte Koup SX,Kia,2013,"$7,999","50,811",Black,Black,Automatic,FWD
2019 Chevrolet Impala 1LT,Chevrolet,2019,"$16,500","33,948",Silver,Black,Automatic,FWD
2016 Cadillac ATS-V Base,Cadillac,2016,"$39,984","34,835",White,Black,Automatic,RWD
2018 Nissan Altima 2.5 SV,Nissan,2018,"$14,000","37,911",Silver,Gray,CVT,FWD
2017 Toyota Highlander SE,Toyota,2017,"$28,693","44,767",White,Black,Automatic,AWD
2019 Cadillac CT6 Premium Luxury AWD,Cadillac,2019,"$38,800","21,548",Black,Black,Automatic,AWD
2019 Ford Explorer XLT,Ford,2019,"$23,200","31,863",White,Black,Automatic,FWD
2019 Chevrolet Malibu LT,Chevrolet,2019,"$15,100","34,427",White,Black,Automatic,FWD
2012 Chrysler 200 LX,Chrysler,2012,"$5,500","106,679",White,Other,Automatic,FWD
2019 Nissan Versa SV,Nissan,2019,"$11,000","10,994",Silver,Gray,CVT,FWD
2011 Audi S5 4.2 Premium Plus,Audi,2011,"$13,729","86,086",Black,Red,Automatic,AWD
2010 Acura TL Technology,Acura,2010,"$10,950","64,466",Silver,Black,Automatic,FWD
2019 Nissan Versa SV,Nissan,2019,"$11,000","19,137",Silver,Gray,CVT,FWD
2019 BMW 740 i,BMW,2019,"$39,300","23,619",Gray,Other,Automatic,RWD
2012 Audi A4 2.0T Premium Plus quattro,Audi,2012,"$12,500","69,171",Black,Black,Automatic,AWD
2015 Nissan Sentra SV,Nissan,2015,"$9,600","58,033",Silver,Other,CVT,FWD
2018 Nissan Maxima SV,Nissan,2018,"$16,300","44,187",Silver,Gray,CVT,FWD
2019 Ford Escape SE,Ford,2019,"$13,997","27,426",Black,Other,Automatic,FWD
