Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2019 Honda Civic Sport,Honda,2019,"$17,987","5,977",Blue,Other,CVT,FWD
2012 Lincoln MKS EcoBoost,Lincoln,2012,"$9,500","95,001",Black,Black,Automatic,AWD
2019 RAM ProMaster 2500 High Roof,RAM,2019,"$28,000","9,924",White,Black,Automatic,FWD
2007 Volkswagen Rabbit 2-Door,Volkswagen,2007,"$3,995","105,382",Gray,Black,Automatic,FWD
2018 Chrysler Pacifica Limited,Chrysler,2018,"$23,225","41,941",Silver,Black,Automatic,FWD
2017 GMC Canyon SLT,GMC,2017,"$28,490","18,132",Gray,Black,Automatic,4x4/4-wheel drive
2014 Subaru Impreza 2.0i Limited,Subaru,2014,"$10,999","64,522",Silver,Black,CVT,AWD
2006 Lincoln Mark LT,Lincoln,2006,"$11,495","101,000",Gray,Gray,Automatic,4x4/4-wheel drive
2018 Honda Accord Sport,Honda,2018,"$20,988","30,491",Silver,Black,CVT,FWD
2016 Toyota Prius v Five,Toyota,2016,"$16,958","40,806",Silver,Black,CVT,FWD
2018 Chevrolet Colorado WT,Chevrolet,2018,"$23,460","13,858",White,Black,Automatic,4x4/4-wheel drive
2015 Ford Transit-250 148 WB Medium Roof Cargo,Ford,2015,"$18,538","60,342",White,Gray,Automatic,RWD
2011 Toyota Venza Base,Toyota,2011,"$10,400","119,190",Gray,Gray,Automatic,AWD
2014 Buick Enclave Premium,Buick,2014,"$15,498","107,674",White,Brown,Automatic,AWD
2018 Subaru Outback 3.6R Limited,Subaru,2018,"$24,498","17,409",Black,Black,CVT,AWD
2017 Subaru Legacy 2.5i Sport,Subaru,2017,"$17,998","18,307",White,Gray,CVT,AWD
2012 Buick Enclave Leather,Buick,2012,"$11,498","85,121",White,Gray,Automatic,AWD
2017 GMC Terrain SLT,GMC,2017,"$20,857","35,939",Black,Black,Automatic,AWD
2016 Chrysler Town & Country Touring-L,Chrysler,2016,"$19,500","27,044",White,Black,Automatic,FWD
2008 Audi TT 2.0T,Audi,2008,"$10,780","78,106",Red,Black,Automatic,FWD
2018 Audi Q7 3.0T Premium Plus,Audi,2018,"$41,300","15,639",White,Brown,Automatic,AWD
2018 Alfa Romeo Stelvio Ti,Alfa,2018,"$30,989","19,326",Blue,Black,Automatic,AWD
2019 Lexus IS 350 Base,Lexus,2019,"$37,990","28,782",White,Red,Automatic,AWD
2018 Kia Forte LX,Kia,2018,"$12,500","26,009",Gray,Gray,Automatic,FWD
2007 Nissan Murano SL,Nissan,2007,"$8,989","48,453",Blue,Black,CVT,AWD
2019 Volkswagen Atlas 3.6L SE w/Technology,Volkswagen,2019,"$29,000","18,883",Silver,Black,Automatic,AWD
2018 Nissan Altima 2.5 SL,Nissan,2018,"$14,990","40,901",White,Gray,CVT,FWD
2014 Ford Escape SE,Ford,2014,"$7,800","110,000",Silver,Gray,Automatic,AWD
2014 GMC Savana 1500 Work Van,GMC,2014,"$12,780","117,431",White,Gray,Automatic,RWD
2018 Mazda Mazda6 Grand Touring Reserve,Mazda,2018,"$24,000","13,019",Red,Beige,Automatic,FWD
2013 Ford Edge Limited,Ford,2013,"$15,900","49,338",Gray,Other,Automatic,AWD
2014 Porsche Cayenne GTS,Porsche,2014,"$36,775","67,567",Silver,Black,Automatic,AWD
2015 Toyota Sienna Limited Premium,Toyota,2015,"$21,800","65,637",Black,Beige,Automatic,AWD
2000 Toyota Land Cruiser,Toyota,2000,"$4,800","204,717",Green,Beige,Automatic,4x4/4-wheel drive
2013 Chrysler Town & Country Touring,Chrysler,2013,"$6,995","115,748",White,Black,Automatic,FWD
2014 BMW X1 xDrive 35i,BMW,2014,"$11,999","84,854",Silver,Black,Automatic,AWD
2015 INFINITI QX80 4WD,INFINITI,2015,"$24,700","81,984",Blue,Gray,Automatic,AWD
2015 Mercedes-Benz C300 4MATIC Luxury,Mercedes-Benz,2015,"$16,700","48,296",Black,Black,Automatic,AWD
2018 Audi A8 L 4.0T Sport,Audi,2018,"$41,255","46,110",Black,Black,Automatic,AWD
2015 Toyota Sequoia Platinum,Toyota,2015,"$28,945","102,959",White,Black,Automatic,4x4/4-wheel drive
2017 Volkswagen Golf Alltrack TSI SE,Volkswagen,2017,"$19,950","31,200",White,Gray,Manual,AWD
2012 Volkswagen Jetta SportWagen TDI,Volkswagen,2012,"$9,995","78,369",Silver,Black,Manual,FWD
2018 Audi Q5 2.0T Premium Plus,Audi,2018,"$33,990","28,097",Blue,Brown,Automatic,AWD
2018 Chevrolet Impala 1LT,Chevrolet,2018,"$15,227","38,512",Silver,Black,Automatic,FWD
2012 Mercedes-Benz GLK 350 4MATIC,Mercedes-Benz,2012,"$14,995","70,207",Gray,Other,Automatic,AWD
2016 Jaguar XF 35t Premium,Jaguar,2016,"$26,200","32,461",White,Black,Automatic,AWD
2017 BMW 430 Gran Coupe i xDrive,BMW,2017,"$24,500","30,794",Gray,Black,Automatic,AWD
2017 Hyundai Sonata Base,Hyundai,2017,"$11,990","84,378",Gray,Gray,Automatic,FWD
2018 Toyota Corolla SE,Toyota,2018,"$14,591","25,438",White,Black,CVT,FWD
2017 Nissan Pathfinder SV,Nissan,2017,"$18,791","36,364",White,Gray,CVT,4x4/4-wheel drive
2019 Audi Q5 2.0T Premium,Audi,2019,"$29,233","17,403",Red,Black,Automatic,AWD
2014 Honda Accord LX,Honda,2014,"$10,991","52,027",White,Other,CVT,FWD
2017 Toyota Highlander LE,Toyota,2017,"$23,191","53,290",White,Gray,Automatic,AWD
2017 Maserati Ghibli S Q4,Maserati,2017,"$42,999","17,657",White,Black,Automatic,AWD
2017 Maserati Levante Base,Maserati,2017,"$49,900","22,110",White,Red,Automatic,AWD
2017 Toyota Highlander LE,Toyota,2017,"$25,364","20,504",Silver,Black,Automatic,AWD
2015 Kia Cadenza Premium,Kia,2015,"$13,699","51,798",White,Beige,Automatic,FWD
2013 Buick Encore Leather,Buick,2013,"$8,999","100,765",Silver,Brown,Automatic,AWD
2019 Mazda CX-5 Touring,Mazda,2019,"$26,991","3,155",Gray,Beige,Automatic,AWD
2017 BMW 540 i xDrive,BMW,2017,"$36,411","23,698",Gray,Black,Automatic,AWD
2019 Mazda CX-5 Touring,Mazda,2019,"$26,590","3,179",White,Black,Automatic,AWD
2012 Acura TSX 2.4,Acura,2012,"$12,990","88,715",Black,Black,Automatic,FWD
2005 Nissan Titan SE King Cab,Nissan,2005,"$9,990","67,850",Black,Gray,Automatic,4x4/4-wheel drive
2013 Volvo S60 T5 Premier,Volvo,2013,"$12,495","47,874",Blue,Black,Automatic,AWD
2017 Mercedes-Benz GLC 300 Base 4MATIC,Mercedes-Benz,2017,"$27,495","34,617",White,Beige,Automatic,AWD
2016 Ford Fusion SE,Ford,2016,"$13,000","57,000",Gray,Black,Automatic,AWD
2017 Ford Explorer XLT,Ford,2017,"$26,797","23,938",White,Black,Automatic,4x4/4-wheel drive
2017 Mercedes-Benz AMG C 43 C43W4,Mercedes-Benz,2017,"$41,998","21,789",Black,Other,Automatic,AWD
2010 Mercedes-Benz GLK 350 4MATIC,Mercedes-Benz,2010,"$10,994","73,634",Black,Black,Automatic,AWD
2018 Chevrolet Silverado 1500 Custom,Chevrolet,2018,"$24,997","27,839",Black,Other,Automatic,4x4/4-wheel drive
2015 Ford Transit Connect Titanium,Ford,2015,"$11,980","85,928",Blue,Gray,Automatic,FWD
2016 Audi A6 2.0T Premium Plus,Audi,2016,"$18,950","44,723",Black,Beige,Automatic,AWD
2016 MINI Clubman Cooper,MINI,2016,"$12,900","67,145",Gray,Gray,Manual,FWD
2019 Chevrolet Impala 1LT,Chevrolet,2019,"$17,595","37,514",Silver,Black,Automatic,FWD
2017 Nissan Murano SL,Nissan,2017,"$23,824","20,244",Gray,Gray,CVT,AWD
2013 Nissan Versa 1.6 SV,Nissan,2013,"$5,495","72,218",Red,Black,CVT,FWD
2011 Chevrolet Aveo LT,Chevrolet,2011,"$4,388","77,881",Gray,Gray,Automatic,FWD
