Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2010 Mercedes-Benz GL 450 4MATIC,Mercedes-Benz,2010,"$14,750","77,504",Silver,Gray,Automatic,AWD
2018 Volkswagen Tiguan 2.0T SE,Volkswagen,2018,"$18,583","34,010",Blue,Beige,Automatic,FWD
2019 Mazda Mazda3 FWD w/Premium Package,Mazda,2019,"$21,199","4,086",Gray,Black,Automatic,FWD
2019 BMW X3 sDrive30i,BMW,2019,"$31,995","9,280",Other,Other,Automatic,RWD
2019 Chevrolet Sonic Premier,Chevrolet,2019,"$11,490","30,105",Gray,Black,Automatic,FWD
2016 Cadillac XTS Luxury Collection,Cadillac,2016,"$25,988","5,786",Black,Other,Automatic,FWD
2019 Jeep Cherokee Limited,Jeep,2019,"$16,590","43,985",White,Black,Automatic,FWD
2019 GMC Acadia SLT-1,GMC,2019,"$28,988","9,162",White,Black,Automatic,FWD
2018 Nissan Sentra S,Nissan,2018,"$10,799","48,387",Gray,Gray,Automatic,FWD
2018 Toyota Corolla iM Base,Toyota,2018,"$14,999","18,784",Silver,Black,CVT,FWD
2015 INFINITI Q50 Premium,INFINITI,2015,"$18,999","43,616",Silver,Gray,Automatic,RWD
2015 Dodge Dart GT,Dodge,2015,"$10,998","46,534",Black,Black,Automatic,FWD
2014 Dodge Grand Caravan AVP/SE,Dodge,2014,"$12,998","79,484",White,Black,Automatic,FWD
2019 Cadillac XTS Luxury,Cadillac,2019,"$34,999","23,582",Black,Black,Automatic,FWD
2015 Audi A6 3.0T Prestige,Audi,2015,"$23,299","33,771",Silver,Black,Automatic,AWD
2014 Audi RS 7 4.0T Prestige,Audi,2014,"$53,949","33,864",White,Black,Automatic,AWD
2020 INFINITI QX60 LUXE/PROACTIVE/SENSORY,INFINITI,2020,"$39,495","4,568",Gray,Gray,CVT,FWD
2016 Chevrolet Traverse 1LT,Chevrolet,2016,"$13,900","81,125",Gray,Black,Automatic,FWD
2008 Nissan 350Z Grand Touring,Nissan,2008,"$8,000","138,369",Silver,Black,Automanual,RWD
2018 MINI Countryman Cooper,MINI,2018,"$19,488","20,422",Brown,Black,Automatic,FWD
2018 Chevrolet Equinox 1LT,Chevrolet,2018,"$17,400","20,031",White,Black,Automatic,AWD
2020 Acura RDX A-Spec,Acura,2020,"$37,991","5,684",Blue,Red,Automatic,FWD
