Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2017 Nissan Murano SL,Nissan,2017,"$20,690","18,887",Red,Other,CVT,FWD
2016 Toyota Corolla L,Toyota,2016,"$7,991","75,140",Black,Gray,Automatic,FWD
2019 BMW 530 i,BMW,2019,"$31,500","20,333",Black,Gray,Automatic,RWD
2015 Mercedes-Benz GL 550 4MATIC,Mercedes-Benz,2015,"$28,500","74,920",Black,Black,Automatic,AWD
2018 Nissan Versa 1.6 SV,Nissan,2018,"$8,800","34,761",White,Black,CVT,FWD
2019 Nissan Sentra SV,Nissan,2019,"$11,700","37,080",Black,Black,CVT,FWD
2018 Toyota Avalon Hybrid XLE Plus,Toyota,2018,"$20,700","34,489",White,Beige,CVT,FWD
2019 Nissan Pathfinder SL,Nissan,2019,"$23,500","21,997",White,Black,CVT,FWD
2014 Chevrolet Traverse LS,Chevrolet,2014,"$9,900","72,799",White,Beige,Automatic,FWD
2016 Kia Forte LX,Kia,2016,"$8,700","58,901",Black,Gray,Automatic,FWD
2017 Mazda CX-9 Signature,Mazda,2017,"$27,500","30,885",Gray,Other,Automatic,AWD
2019 Dodge Durango GT Plus,Dodge,2019,"$22,600","29,662",Black,Black,Automatic,RWD
2012 Cadillac Escalade Premium,Cadillac,2012,"$21,925","64,575",Black,Black,Automatic,RWD
2018 Nissan Kicks SV,Nissan,2018,"$16,990","15,998",Gray,Gray,CVT,FWD
2018 Nissan Versa 1.6 SV,Nissan,2018,"$12,590","38,268",Blue,Black,Automatic,FWD
2015 Mercedes-Benz Base,Mercedes-Benz,2015,"$15,990","33,854",Blue,Gray,Automatic,FWD
2016 Toyota Corolla LE,Toyota,2016,"$9,997","43,054",Black,Gray,CVT,FWD
2017 Audi A4 allroad 2.0T Premium quattro,Audi,2017,"$33,990","12,506",Black,Black,Automatic,AWD
2017 Genesis G80 3.8,Genesis,2017,"$23,590","30,256",Silver,Black,Automatic,RWD
2017 Buick Encore Preferred,Buick,2017,"$14,990","11,239",Silver,Black,Automatic,FWD
2017 Acura MDX 3.5L w/Technology Package,Acura,2017,"$26,498","33,741",White,Black,Automatic,FWD
