Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2011 Hyundai Sonata GLS,Hyundai,2011,"$7,540.00","91,092",Gray,Gray,Automatic,FWD
2015 Mercedes-Benz ML 63 AMG,Mercedes-Benz,2015,"$37,980.00","44,227",Black,Black,Automatic,AWD
2018 Porsche Cayenne Platinum Edition,Porsche,2018,"$53,595.00","15,115",Purple,Black,Automatic,AWD
2018 Chevrolet Malibu LT,Chevrolet,2018,"$12,795.00","47,080",Silver,Black,Automatic,FWD
2014 Mercedes-Benz GL 450 4MATIC,Mercedes-Benz,2014,"$19,980.00","79,084",Black,Black,Automatic,AWD
2017 Audi A6 2.0T Premium Plus,Audi,2017,"$26,055.00","18,921",Blue,Brown,Automatic,AWD
2017 Ford Edge Titanium,Ford,2017,"$27,540.00","27,896",Blue,Black,Automatic,AWD
2019 Ford Explorer sport,Ford,2019,"$28,900.00","15,368",Red,Black,Automatic,4x4/4-wheel drive
2015 Kia Forte LX,Kia,2015,"$9,998.00","99,583",Black,Black,Automatic,FWD
2017 Jeep Patriot High Altitude,Jeep,2017,"$18,498.00","37,566",Gray,Gray,Automatic,4x4/4-wheel drive
2017 Chevrolet Malibu 1LT,Chevrolet,2017,"$11,900.00","63,586",Gray,Beige,Automatic,FWD
2016 Nissan Rogue S,Nissan,2016,"$12,900.00","26,409",Silver,Gray,CVT,AWD
2018 Chrysler Pacifica Touring L,Chrysler,2018,"$26,990.00","7,682",Gray,Black,Automatic,FWD
2011 Dodge Grand Caravan R/T,Dodge,2011,"$6,490.00","145,442",Red,Black,Automatic,FWD
2016 Nissan Frontier SV,Nissan,2016,"$19,495.00","22,458",Silver,Gray,Automatic,4x4/4-wheel drive
2014 Mercedes-Benz GL 450 4MATIC,Mercedes-Benz,2014,"$23,900.00","51,030",White,Brown,Automatic,AWD
2015 Toyota 4Runner Trail,Toyota,2015,"$26,995.00","43,030",Black,Black,Automatic,4x4/4-wheel drive
2015 Ford Focus SE,Ford,2015,"$9,999.00","33,076",Silver,Other,Manual,FWD
2019 Volkswagen Tiguan 2.0T SE,Volkswagen,2019,"$20,795.00","22,020",Black,Gray,Automatic,AWD
2015 Maserati Ghibli S Q4,Maserati,2015,"$28,995.00","10,052",White,Black,Automatic,AWD
2012 Cadillac Escalade Luxury,Cadillac,2012,"$15,995.00","137,121",Black,Black,Automatic,AWD
2011 Nissan Cube 1.8 S,Nissan,2011,"$4,900.00","98,541",Silver,Other,CVT,FWD
2017 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,Mercedes-Benz,2017,"$44,675.00","39,872",White,Black,Automatic,AWD
2018 BMW X6 xDrive35i,BMW,2018,"$45,000.00","14,900",White,Black,Automatic,AWD
2018 Toyota Corolla LE,Toyota,2018,"$9,987.00","42,992",Black,Black,CVT,FWD
2019 BMW X3 xDrive30i,BMW,2019,"$28,997.00","23,898",Black,Black,Automatic,AWD
2020 Nissan Rogue SV,Nissan,2020,"$18,995.00","13,804",White,Gray,CVT,AWD
2016 Land Rover LR4 Base,Land,2016,"$28,855.00","61,120",Black,Other,Automatic,4x4/4-wheel drive
2015 Mercedes-Benz GL 550 4MATIC,Mercedes-Benz,2015,"$29,498.00","65,965",Black,Black,Automatic,AWD
2016 Land Rover Discovery Sport HSE LUX,Land,2016,"$24,800.00","38,740",Black,Beige,Automatic,4x4/4-wheel drive
2018 BMW 430 i,BMW,2018,"$27,800.00","15,496",Black,Black,Automatic,RWD
2014 Chevrolet Impala 1LT,Chevrolet,2014,"$13,799.00","39,327",Silver,Black,Automatic,FWD
2019 Toyota Corolla LE,Toyota,2019,"$16,577.00","41,177",Blue,Black,CVT,FWD
2019 Toyota RAV4 Adventure,Toyota,2019,"$27,995.00","17,383",Red,Black,Automatic,AWD
2012 FIAT 500 Pop,FIAT,2012,"$3,990.00","98,041",White,Red,Manual,FWD
2019 Chevrolet Equinox Premier,Chevrolet,2019,"$24,985.00","8,082",Silver,Black,Automatic,AWD
2019 INFINITI QX60 Luxe,INFINITI,2019,"$34,888.00","12,564",Blue,Gray,CVT,AWD
2019 Dodge Grand Caravan SE,Dodge,2019,"$20,495.00","5,654",White,Black,Automatic,FWD
2010 Toyota Corolla S,Toyota,2010,"$6,989.00","83,902",Silver,Gray,Automatic,FWD
2017 Toyota Corolla LE,Toyota,2017,"$13,991.00","22,447",Red,Gray,CVT,FWD
2016 Ford Escape SE,Ford,2016,"$14,745.00","65,762",Silver,Gray,Automatic,4x4/4-wheel drive
2012 Hyundai Sonata GLS,Hyundai,2012,"$7,999.00","59,102",Black,Gray,Automatic,FWD
2017 Nissan Murano SV,Nissan,2017,"$19,777.00","39,728",Silver,Gray,CVT,AWD
2011 Nissan Murano SL,Nissan,2011,"$8,995.00","103,738",Red,Black,CVT,AWD
2011 Audi A5 2.0T Premium quattro,Audi,2011,"$7,495.00","129,661",Blue,Beige,Automatic,AWD
2018 Mazda CX-9 Sport,Mazda,2018,"$27,989.00","11,669",Silver,Black,Automatic,AWD
2016 Nissan Rogue S,Nissan,2016,"$10,995.00","59,917",Gray,Gray,CVT,AWD
2016 BMW 640 Gran Coupe i xDrive,BMW,2016,"$30,450.00","42,255",Black,Other,Automatic,AWD
2019 Chrysler Pacifica Touring-L,Chrysler,2019,"$21,250.00","35,621",Black,Black,Automatic,FWD
2017 Honda HR-V EX-L w/Navigation,Honda,2017,"$17,780.00","31,928",Black,Other,CVT,AWD
2015 Toyota Camry LE,Toyota,2015,"$10,000.00","81,237",Beige,Beige,Automatic,FWD
2005 Chevrolet Equinox LT,Chevrolet,2005,"$4,695.00","88,043",Brown,Beige,Automatic,AWD
2010 Nissan Maxima SV,Nissan,2010,"$8,900.00","98,696",Red,Beige,CVT,FWD
2014 Audi A6 3.0T Premium Plus,Audi,2014,"$17,481.00","49,520",Black,Black,Automatic,AWD
2019 Jeep Cherokee Limited,Jeep,2019,"$23,953.00","15,862",Black,Black,Automatic,4x4/4-wheel drive
2018 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz,2018,"$31,797.00","60,635",Silver,Black,Automatic,AWD
2018 Audi Q5 2.0T Premium,Audi,2018,"$23,995.00","38,249",Black,Black,Automatic,AWD
2017 Land Rover Discovery Sport HSE,Land,2017,"$26,900.00","24,168",Black,Black,Automatic,4x4/4-wheel drive
2012 Cadillac CTS Luxury,Cadillac,2012,"$9,995.00","83,616",White,Beige,Automatic,AWD
2009 Dodge Journey SXT,Dodge,2009,"$7,995.00","115,833",Gold,Beige,Automatic,AWD
2020 Land Rover Discovery Sport Standard,Land,2020,"$35,995.00","5,547",Black,Black,Automatic,4x4/4-wheel drive
2017 Audi A3 2.0T Premium Plus,Audi,2017,"$27,999.00","29,562",Red,Black,Automatic,AWD
2017 Volkswagen Jetta 1.4T S,Volkswagen,2017,"$12,986.00","20,254",Blue,Black,Automatic,FWD
2019 Audi Q7 45 Premium,Audi,2019,"$43,999.00","8,893",Blue,Black,Automatic,AWD
2019 Audi A7 3.0T Premium Plus,Audi,2019,"$59,499.00","10,400",Gray,Black,Automatic,AWD
2020 Land Rover Range Rover Evoque SE,Land,2020,"$53,688.00","5,512",Gray,Black,Automatic,AWD
2019 RAM ProMaster 2500 High Roof,RAM,2019,"$23,258.00","14,934",White,Black,Automatic,FWD
2015 Mercedes-Benz CLS 63 AMG S-Model 4MATIC,Mercedes-Benz,2015,"$43,990.00","43,596",Black,Black,Automatic,AWD
